,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003
,50000,50000,50000,50000,50000,50000,10000,10000,10000,50000,50000,50000,50000,50000,50000,10000,10000,10000,50000,50000,50000,50000,50000,50000,10000,10000,10000
0,31.18227924713763,31.18227924713763,31.18227924713763,31.18227924713763,31.18227924713763,31.18227924713763,31.18227924713763,31.18227924713763,31.18227924713763,31.26130348956187,31.26130348956187,31.26130348956187,31.26130348956187,31.26130348956187,31.26130348956187,31.26130348956187,31.26130348956187,31.26130348956187,30.932836822895204,30.932836822895204,30.932836822895204,30.932836822895204,30.932836822895204,30.932836822895204,30.932836822895204,30.932836822895204,30.932836822895204
1,31.134654726484836,31.134654726484836,31.134654726484836,31.134654726484836,31.134654726484836,31.134654726484836,31.134654726484836,31.134654726484836,31.134654726484836,31.21186684769696,31.21186684769696,31.21186684769696,31.21186684769696,31.21186684769696,31.21186684769696,31.21186684769696,31.21186684769696,31.21186684769696,30.89387896890908,30.89387896890908,30.89387896890908,30.89387896890908,30.89387896890908,30.89387896890908,30.89387896890908,30.89387896890908,30.89387896890908
2,31.13126911378143,31.13126911378143,31.13126911378143,31.13126911378143,31.13126911378143,31.13126911378143,31.13126911378143,31.13126911378143,31.13126911378143,31.206826689539003,31.206826689539003,31.206826689539003,31.206826689539003,31.206826689539003,31.206826689539003,31.206826689539003,31.206826689539003,31.206826689539003,30.897032750145065,30.897032750145065,30.897032750145065,30.897032750145065,30.897032750145065,30.897032750145065,30.897032750145065,30.897032750145065,30.897032750145065
3,31.10469267506789,31.10469267506789,31.10469267506789,31.10469267506789,31.10469267506789,31.10469267506789,31.10469267506789,31.10469267506789,31.10469267506789,31.180171462946678,31.180171462946678,31.180171462946678,31.180171462946678,31.180171462946678,31.180171462946678,31.180171462946678,31.180171462946678,31.180171462946678,30.87329267506789,30.87329267506789,30.87329267506789,30.87329267506789,30.87329267506789,30.87329267506789,30.87329267506789,30.87329267506789,30.87329267506789
4,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
5,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
6,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
7,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
8,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
9,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
10,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
11,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
12,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
13,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
14,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
15,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
16,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
