CT0,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 30.95 °C, 0.950 RH","Humid air at 30.95 °C, 0.950 RH","Humid air at 30.95 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 30.85 °C, 0.950 RH","Humid air at 30.85 °C, 0.950 RH","Humid air at 30.85 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 30.79 °C, 0.950 RH","Humid air at 30.79 °C, 0.950 RH","Humid air at 30.79 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 30.73 °C, 0.950 RH","Humid air at 30.73 °C, 0.950 RH","Humid air at 30.73 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 31.27 °C, 0.950 RH","Humid air at 31.27 °C, 0.950 RH","Humid air at 31.27 °C, 0.950 RH","Humid air at 32.08 °C, 0.950 RH","Humid air at 32.08 °C, 0.950 RH","Humid air at 32.08 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 32.92 °C, 0.950 RH","Humid air at 32.92 °C, 0.950 RH","Humid air at 32.92 °C, 0.950 RH","Humid air at 33.36 °C, 0.950 RH","Humid air at 33.36 °C, 0.950 RH","Humid air at 33.36 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 26.00 °C, 0.900 RH","Humid air at 32.35 °C, 0.950 RH","Humid air at 32.35 °C, 0.950 RH","Humid air at 32.35 °C, 0.950 RH","Humid air at 31.87 °C, 0.950 RH","Humid air at 31.87 °C, 0.950 RH","Humid air at 31.87 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.600 RH","Humid air at 26.00 °C, 0.600 RH","Humid air at 26.00 °C, 0.600 RH","Humid air at 29.48 °C, 0.950 RH","Humid air at 29.48 °C, 0.950 RH","Humid air at 29.48 °C, 0.950 RH","Humid air at 29.05 °C, 0.950 RH","Humid air at 29.05 °C, 0.950 RH","Humid air at 29.05 °C, 0.950 RH"
"Humid air at 26.00 °C, 0.600 RH","Humid air at 26.00 °C, 0.600 RH","Humid air at 26.00 °C, 0.600 RH","Humid air at 29.61 °C, 0.950 RH","Humid air at 29.61 °C, 0.950 RH","Humid air at 29.61 °C, 0.950 RH","Humid air at 29.17 °C, 0.950 RH","Humid air at 29.17 °C, 0.950 RH","Humid air at 29.17 °C, 0.950 RH"
"Humid air at 26.73 °C, 0.950 RH","Humid air at 26.73 °C, 0.950 RH","Humid air at 26.73 °C, 0.950 RH","Humid air at 29.53 °C, 0.950 RH","Humid air at 29.53 °C, 0.950 RH","Humid air at 29.53 °C, 0.950 RH","Humid air at 29.16 °C, 0.950 RH","Humid air at 29.16 °C, 0.950 RH","Humid air at 29.16 °C, 0.950 RH"
